2019-04-08 15:29:45.6334 | Query No. 18 | FM1T085CASG  | Read Time: 00:00:03.7778497 | Write Time: 00:00:00.0563362
2019-04-08 15:29:47.2938 | Query No. 21 | FM1T096      | Read Time: 00:00:01.6012286 | Write Time: 00:00:00.0565362
2019-04-08 16:19:42.2287 | Query No. 6  | Contact info | Read Time: 00:00:00.1251494 | Write Time: 00:00:00.0628907
2019-04-08 16:19:42.4487 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.0947956 | Write Time: 00:00:00.1075039
2019-04-08 16:19:42.6672 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1380232 | Write Time: 00:00:00.0763243
2019-04-08 16:19:42.8011 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0692729 | Write Time: 00:00:00.0609935
2019-04-08 16:19:45.2761 | Query No. 10 | Sample info  | Read Time: 00:00:02.4714807 | Write Time: 00:00:00.0609935
2019-04-08 16:19:48.1808 | Query No. 11 | FM1T011      | Read Time: 00:00:02.8356266 | Write Time: 00:00:00.0667834
2019-04-08 16:19:50.9285 | Query No. 13 | T27AggGrad   | Read Time: 00:00:02.6236483 | Write Time: 00:00:00.1213288
2019-04-08 16:19:51.6209 | Query No. 15 | FM1T084FASG  | Read Time: 00:00:00.6338781 | Write Time: 00:00:00.0569928
2019-04-08 16:19:54.5725 | Query No. 18 | FM1T085CASG  | Read Time: 00:00:02.8927162 | Write Time: 00:00:00.0545839
2019-04-08 16:19:56.4374 | Query No. 21 | FM1T096      | Read Time: 00:00:01.8045471 | Write Time: 00:00:00.0585118
2019-04-08 16:20:03.5501 | The length of Message is greater than the maximum allowed length of 2000
2019-04-08 16:23:50.5268 | Query No. 6  | Contact info | Read Time: 00:00:00.1122660 | Write Time: 00:00:00.0551525
2019-04-08 16:23:50.7482 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.0927214 | Write Time: 00:00:00.1092444
2019-04-08 16:23:50.9698 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1391180 | Write Time: 00:00:00.0803661
2019-04-08 16:23:51.1066 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0661051 | Write Time: 00:00:00.0681765
2019-04-08 16:23:53.5484 | Query No. 10 | Sample info  | Read Time: 00:00:02.4375519 | Write Time: 00:00:00.0681765
2019-04-08 16:23:56.4445 | Query No. 11 | FM1T011      | Read Time: 00:00:02.8240986 | Write Time: 00:00:00.0695683
2019-04-08 16:23:59.5072 | Query No. 13 | T27AggGrad   | Read Time: 00:00:02.9486991 | Write Time: 00:00:00.1112931
2019-04-08 16:24:00.1913 | Query No. 15 | FM1T084FASG  | Read Time: 00:00:00.6262186 | Write Time: 00:00:00.0537899
2019-04-08 16:24:03.3253 | Query No. 18 | FM1T085CASG  | Read Time: 00:00:03.0754180 | Write Time: 00:00:00.0570752
2019-04-08 16:24:05.2348 | Query No. 21 | FM1T096      | Read Time: 00:00:01.8456776 | Write Time: 00:00:00.0619477
2019-04-08 16:24:11.9865 | Sending email notification to District: 04 was FailedDueToBusinessRuleViolation
2019-04-09 15:23:47.3908 | Query No. 6  | Contact info | Read Time: 00:00:00.6110522 | Write Time: 00:00:00.0588256
2019-04-09 15:23:47.7336 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.2178637 | Write Time: 00:00:00.1082426
2019-04-09 15:23:47.9729 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1423517 | Write Time: 00:00:00.0949757
2019-04-09 15:23:48.1242 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0787612 | Write Time: 00:00:00.0709110
2019-04-09 15:38:47.1694 | Query No. 6  | Contact info | Read Time: 00:00:01.5865826 | Write Time: 00:00:00.0823902
2019-04-09 15:38:47.6009 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.2985048 | Write Time: 00:00:00.1158359
2019-04-09 15:38:47.8765 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1564342 | Write Time: 00:00:00.1171245
2019-04-09 15:38:48.0401 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0907713 | Write Time: 00:00:00.0686972
2019-04-09 15:38:57.7273 | Query No. 10 | Sample info  | Read Time: 00:00:09.6828556 | Write Time: 00:00:00.0686972
2019-04-09 15:39:04.3683 | Query No. 11 | FM1T011      | Read Time: 00:00:05.4000639 | Write Time: 00:00:01.2357139
2019-04-09 15:39:42.5317 | Query No. 13 | T27AggGrad   | Read Time: 00:00:37.6482974 | Write Time: 00:00:00.5137469
2019-04-09 15:39:45.0945 | Query No. 15 | FM1T084FASG  | Read Time: 00:00:02.4918355 | Write Time: 00:00:00.0667813
2019-04-09 15:39:56.8411 | Query No. 18 | FM1T085CASG  | Read Time: 00:00:11.6880391 | Write Time: 00:00:00.0563496
2019-04-09 15:40:01.4204 | Query No. 21 | FM1T096      | Read Time: 00:00:04.5056753 | Write Time: 00:00:00.0717697
2019-04-09 15:42:55.9864 | Query No. 6  | Contact info | Read Time: 00:00:00.2858804 | Write Time: 00:00:00.0587942
2019-04-09 15:42:56.8649 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.7214546 | Write Time: 00:00:00.1390589
2019-04-09 15:42:57.1048 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1456632 | Write Time: 00:00:00.0918897
2019-04-09 15:42:57.2587 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0917610 | Write Time: 00:00:00.0606445
2019-04-09 15:43:01.0034 | Query No. 10 | Sample info  | Read Time: 00:00:03.7438065 | Write Time: 00:00:00.0606445
2019-04-09 15:43:02.3146 | Query No. 11 | FM1T011      | Read Time: 00:00:01.2390987 | Write Time: 00:00:00.0700109
2019-04-09 15:43:31.8542 | Query No. 13 | T27AggGrad   | Read Time: 00:00:29.4259863 | Write Time: 00:00:00.1125465
2019-04-09 15:43:32.1836 | Query No. 15 | FM1T084FASG  | Read Time: 00:00:00.2720135 | Write Time: 00:00:00.0553618
2019-04-09 15:43:36.5288 | Query No. 18 | FM1T085CASG  | Read Time: 00:00:04.2832706 | Write Time: 00:00:00.0583846
2019-04-09 15:43:38.0517 | Query No. 21 | FM1T096      | Read Time: 00:00:01.4621385 | Write Time: 00:00:00.0582431
2019-04-09 15:45:36.0270 | Query No. 6  | Contact info | Read Time: 00:00:00.1457972 | Write Time: 00:00:00.0780723
2019-04-09 15:45:36.2511 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.0937207 | Write Time: 00:00:00.1134588
2019-04-09 15:45:36.5005 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1503571 | Write Time: 00:00:00.0968533
2019-04-09 15:45:36.6523 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0751879 | Write Time: 00:00:00.0727137
2019-04-09 16:04:09.5293 | Query No. 6  | Contact info | Read Time: 00:00:00.2016346 | Write Time: 00:00:00.0526080
2019-04-09 16:04:09.7547 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.1019195 | Write Time: 00:00:00.1071543
2019-04-09 16:04:10.0086 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1568615 | Write Time: 00:00:00.0950914
2019-04-09 16:04:10.1647 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0889198 | Write Time: 00:00:00.0657807
2019-04-09 16:04:16.6133 | Query No. 10 | Sample info  | Read Time: 00:00:06.4428514 | Write Time: 00:00:00.0657807
2019-04-09 16:04:17.7467 | Query No. 11 | FM1T011      | Read Time: 00:00:01.0525903 | Write Time: 00:00:00.0779930
2019-04-09 16:04:22.3724 | Query No. 13 | T27AggGrad   | Read Time: 00:00:04.5010930 | Write Time: 00:00:00.1223723
2019-04-09 16:04:22.5825 | Query No. 15 | FM1T084FASG  | Read Time: 00:00:00.1447289 | Write Time: 00:00:00.0615688
2019-04-09 16:04:28.2225 | Query No. 18 | FM1T085CASG  | Read Time: 00:00:05.5787358 | Write Time: 00:00:00.0574242
2019-04-09 16:04:29.3410 | Query No. 21 | FM1T096      | Read Time: 00:00:01.0572058 | Write Time: 00:00:00.0584294
2019-04-09 16:04:37.4076 | Sending email notification to District: 02 was FailedDueToBusinessRuleViolation
2019-04-09 16:57:12.6611 | Query No. 6  | Contact info | Read Time: 00:00:00.1476307 | Write Time: 00:00:00.0642956
2019-04-09 16:57:12.8545 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.0728437 | Write Time: 00:00:00.1010238
2019-04-09 16:57:13.0884 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1489376 | Write Time: 00:00:00.0834999
2019-04-09 16:57:13.2263 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0790828 | Write Time: 00:00:00.0569150
2019-04-09 16:57:17.1759 | Query No. 10 | Sample info  | Read Time: 00:00:03.9487868 | Write Time: 00:00:00.0569150
2019-04-09 16:57:18.2283 | Query No. 11 | FM1T011      | Read Time: 00:00:00.9866214 | Write Time: 00:00:00.0643466
2019-04-09 16:57:23.5767 | Query No. 13 | T27AggGrad   | Read Time: 00:00:05.2132003 | Write Time: 00:00:00.1333952
2019-04-09 16:57:26.1477 | Query No. 15 | FM1T084FASG  | Read Time: 00:00:02.5116777 | Write Time: 00:00:00.0563393
2019-04-09 16:57:31.1085 | Query No. 18 | FM1T085CASG  | Read Time: 00:00:04.9027603 | Write Time: 00:00:00.0565595
2019-04-09 16:57:32.4033 | Query No. 21 | FM1T096      | Read Time: 00:00:01.2346458 | Write Time: 00:00:00.0583625
2019-04-09 16:57:39.2463 | Sending email notification to District: 02 was FailedDueToBusinessRuleViolation
2019-04-09 17:00:48.5056 | Query No. 6  | Contact info | Read Time: 00:00:00.1841406 | Write Time: 00:00:00.0548215
2019-04-09 17:00:48.7078 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.0786918 | Write Time: 00:00:00.1054882
2019-04-09 17:00:48.9442 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1489840 | Write Time: 00:00:00.0839602
2019-04-09 17:00:49.1057 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0918847 | Write Time: 00:00:00.0665405
2019-04-09 17:00:53.1753 | Query No. 10 | Sample info  | Read Time: 00:00:04.0662544 | Write Time: 00:00:00.0665405
2019-04-09 17:00:54.1478 | Query No. 11 | FM1T011      | Read Time: 00:00:00.8772851 | Write Time: 00:00:00.0921566
2019-04-09 17:00:58.7982 | Query No. 13 | T27AggGrad   | Read Time: 00:00:04.5123688 | Write Time: 00:00:00.1365966
2019-04-09 17:00:58.9796 | Query No. 15 | FM1T084FASG  | Read Time: 00:00:00.1224551 | Write Time: 00:00:00.0550430
2019-04-09 17:01:03.0978 | Query No. 18 | FM1T085CASG  | Read Time: 00:00:04.0441103 | Write Time: 00:00:00.0696218
